script	w	h	seed	items	rendered	offscreen	occluded	skipped	nonwhite	gen_ms	raster_ms
seascape3	960	540	h18	243	223	20	0	376818	116748	0.061	2.316
seascape3	960	540	h19	253	232	20	1	159302	182334	0.065	2.454
seascape3	960	540	h20	262	238	23	1	178212	186314	0.064	2.482
seascape3	960	540	h21	250	229	20	1	143364	178105	0.063	2.405
seascape3	960	540	h22	282	258	23	1	158277	399683	0.071	2.232
seascape3	960	540	h23	312	288	23	1	233496	405534	0.091	2.432
seascape3	200	200	h0	141	124	16	1	32234	31191	0.075	0.304
seascape3	200	200	h1	140	124	15	1	23409	29755	0.074	0.272
seascape3	200	200	h2	130	113	16	1	18180	28906	0.058	0.248
seascape3	200	200	h3	96	81	14	1	15150	14682	0.051	0.261
seascape3	200	200	h4	101	86	14	1	15866	14805	0.052	0.280
seascape3	200	200	h5	106	86	19	1	16594	14737	0.053	0.287
seascape3	200	200	h6	89	75	14	0	31832	9887	0.049	0.248
seascape3	200	200	h7	94	79	15	0	32908	9867	0.049	0.250
seascape3	200	200	h8	97	81	16	0	35280	10640	0.050	0.263
seascape3	200	200	h9	81	67	14	0	31064	9854	0.048	0.240
seascape3	200	200	h10	86	70	16	0	33082	10402	0.048	0.254
seascape3	200	200	h11	109	91	18	0	38919	12100	0.066	0.280
seascape3	200	200	h12	102	90	12	0	43972	12066	0.065	0.311
seascape3	200	200	h13	102	88	14	0	43448	12380	0.066	0.298
seascape3	200	200	h14	93	79	14	0	34018	10677	0.049	0.259
seascape3	200	200	h15	81	69	12	0	31418	9822	0.048	0.244
seascape3	200	200	h16	90	73	17	0	31658	9673	0.058	0.287
seascape3	200	200	h17	101	84	17	0	33406	10545	0.052	0.266
seascape3	200	200	h18	89	75	14	0	31828	9821	0.050	0.256
seascape3	200	200	h19	99	84	14	1	15944	14801	0.051	0.262
seascape3	200	200	h20	108	91	16	1	18338	15222	0.052	0.263
seascape3	200	200	h21	96	80	15	1	13904	14240	0.051	0.256
seascape3	200	200	h22	128	112	15	1	16175	29693	0.058	0.254
seascape3	200	200	h23	158	140	17	1	25326	30361	0.078	0.284
thunderstorms	960	540	h0	37	35	2	0	114370	468994	0.015	2.578
thunderstorms	960	540	h1	40	38	2	0	166336	445650	0.015	2.978
thunderstorms	960	540	h2	43	41	2	0	215236	434593	0.016	3.459
thunderstorms	960	540	h3	46	44	2	0	231519	444528	0.016	3.328
thunderstorms	960	540	h4	49	45	4	0	270249	434539	0.019	3.671
thunderstorms	960	540	h5	52	50	2	0	368790	396522	0.017	4.401
thunderstorms	960	540	h6	55	50	5	0	429119	365377	0.017	4.603
thunderstorms	960	540	h7	58	53	5	0	436578	362747	0.017	4.489
thunderstorms	960	540	h8	61	55	6	0	536220	387061	0.017	5.254
thunderstorms	960	540	h9	64	54	10	0	546718	347128	0.018	5.385
thunderstorms	960	540	h10	67	65	2	0	371946	396870	0.020	4.312
thunderstorms	960	540	h11	70	64	6	0	379567	385186	0.020	4.630
thunderstorms	960	540	h12	73	67	6	0	503698	342947	0.019	5.211
thunderstorms	960	540	h13	76	69	7	0	502691	379894	0.020	5.714
thunderstorms	960	540	h14	43	41	2	0	244786	415889	0.015	3.729
thunderstorms	960	540	h15	82	71	11	0	564387	343105	0.020	5.614
thunderstorms	960	540	h16	85	66	18	1	610910	304821	0.021	5.370
thunderstorms	960	540	h17	88	67	21	0	628923	388689	0.021	5.526
thunderstorms	960	540	h18	91	67	24	0	563488	344794	0.023	5.779
thunderstorms	960	540	h19	46	44	2	0	399904	378752	0.015	4.450
thunderstorms	960	540	h20	97	88	9	0	664268	316487	0.023	6.175
thunderstorms	960	540	h21	100	89	11	0	589028	330638	0.023	5.964
thunderstorms	960	540	h22	103	92	11	0	749570	314618	0.023	6.585
thunderstorms	960	540	h23	106	87	19	0	714459	475116	0.024	5.711
thunderstorms	200	200	h0	37	31	6	0	32038	30499	0.015	0.564
thunderstorms	200	200	h1	40	32	8	0	31226	29937	0.016	0.565
thunderstorms	200	200	h2	43	32	11	0	29419	31107	0.016	0.516
thunderstorms	200	200	h3	46	30	16	0	31019	31470	0.022	0.536
thunderstorms	200	200	h4	49	30	19	0	24626	32396	0.016	0.455
thunderstorms	200	200	h5	52	28	24	0	22328	31631	0.017	0.433
thunderstorms	200	200	h6	55	26	29	0	21666	33244	0.017	0.387
thunderstorms	200	200	h7	58	24	34	0	20232	32034	0.018	0.376
thunderstorms	200	200	h8	61	22	39	0	19853	34368	0.018	0.370
thunderstorms	200	200	h9	64	22	42	0	19632	33340	0.018	0.360
thunderstorms	200	200	h10	67	39	28	0	36046	29048	0.019	0.744
thunderstorms	200	200	h11	70	41	29	0	34387	30782	0.019	0.583
thunderstorms	200	200	h12	73	35	38	0	28695	31557	0.020	0.524
thunderstorms	200	200	h13	76	31	45	0	29727	34074	0.021	0.504
thunderstorms	200	200	h14	43	24	19	0	25145	32493	0.016	0.452
thunderstorms	200	200	h15	82	25	57	0	24464	32438	0.021	0.437
thunderstorms	200	200	h16	85	26	59	0	20894	32994	0.021	0.389
thunderstorms	200	200	h17	88	24	64	0	21694	36322	0.021	0.399
thunderstorms	200	200	h18	91	22	69	0	20457	33537	0.021	0.422
thunderstorms	200	200	h19	46	19	27	0	21002	33420	0.016	0.381
thunderstorms	200	200	h20	97	38	59	0	30581	31052	0.022	0.588
thunderstorms	200	200	h21	100	39	61	0	32393	29192	0.022	0.564
thunderstorms	200	200	h22	103	29	74	0	29213	32569	0.022	0.514
thunderstorms	200	200	h23	106	37	67	2	37736	36351	0.026	0.480
welcome	960	540	h0	103	103	0	0	426	259237	0.012	1.617
welcome	960	540	h1	103	103	0	0	550	259205	0.011	1.590
welcome	960	540	h2	103	103	0	0	740	259140	0.011	1.576
welcome	960	540	h3	103	103	0	0	970	259055	0.011	1.587
welcome	960	540	h4	103	103	0	0	1270	258935	0.014	1.626
welcome	960	540	h5	103	103	0	0	1626	258787	0.011	1.587
welcome	960	540	h6	103	103	0	0	2050	258605	0.012	1.648
welcome	960	540	h7	103	103	0	0	2534	258393	0.011	1.703
welcome	960	540	h8	103	103	0	0	3076	258152	0.011	1.600
welcome	960	540	h9	103	103	0	0	3674	257883	0.011	1.627
welcome	960	540	h10	103	103	0	0	4334	257583	0.012	1.611
welcome	960	540	h11	103	103	0	0	5046	257257	0.011	1.627
welcome	960	540	h12	103	103	0	0	5836	256892	0.012	1.680
welcome	960	540	h13	103	103	0	0	6674	256503	0.012	1.633
welcome	960	540	h14	103	103	0	0	7572	256084	0.012	1.690
welcome	960	540	h15	103	103	0	0	8526	255637	0.012	1.804
welcome	960	540	h16	103	103	0	0	9544	255158	0.012	1.675
welcome	960	540	h17	103	103	0	0	10626	254647	0.012	1.696
welcome	960	540	h18	103	103	0	0	11772	254104	0.012	1.701
welcome	960	540	h19	103	103	0	0	12969	253535	0.011	1.727
welcome	960	540	h20	103	103	0	0	1030	259535	0.012	1.599
welcome	960	540	h21	103	103	0	0	1146	259507	0.012	1.604
welcome	960	540	h22	103	103	0	0	1338	259441	0.012	1.606
welcome	960	540	h23	103	103	0	0	1570	259355	0.012	1.608
welcome	200	200	h0	103	103	0	0	426	20039	0.012	0.160
welcome	200	200	h1	103	103	0	0	550	20011	0.012	0.142
welcome	200	200	h2	103	103	0	0	740	19946	0.012	0.147
welcome	200	200	h3	103	103	0	0	970	19864	0.012	0.163
welcome	200	200	h4	103	103	0	0	1270	19746	0.011	0.155
welcome	200	200	h5	103	103	0	0	1626	19601	0.012	0.186
welcome	200	200	h6	103	103	0	0	2050	19422	0.012	0.157
welcome	200	200	h7	103	103	0	0	2534	19211	0.011	0.165
welcome	200	200	h8	103	103	0	0	3076	18976	0.016	0.170
welcome	200	200	h9	103	103	0	0	3674	18701	0.011	0.172
welcome	200	200	h10	103	103	0	0	4334	18410	0.012	0.184
welcome	200	200	h11	103	103	0	0	5016	18066	0.012	0.201
welcome	200	200	h12	103	103	0	0	5776	17693	0.011	0.193
welcome	200	200	h13	103	103	0	0	6584	17288	0.012	0.214
welcome	200	200	h14	103	103	0	0	7452	16854	0.012	0.241
welcome	200	200	h15	103	103	0	0	8376	16397	0.011	0.216
welcome	200	200	h16	103	103	0	0	9364	15893	0.013	0.216
welcome	200	200	h17	103	103	0	0	10416	15379	0.013	0.248
welcome	200	200	h18	103	103	0	0	11532	14805	0.011	0.258
welcome	200	200	h19	103	103	0	0	12700	14226	0.011	0.244
welcome	200	200	h20	103	103	0	0	730	20186	0.011	0.139
welcome	200	200	h21	103	103	0	0	816	20145	0.011	0.143
welcome	200	200	h22	103	103	0	0	978	20067	0.011	0.144
welcome	200	200	h23	103	103	0	0	1180	19969	0.011	0.156
